"CCG Comments","CMU","FY","Last Stage Reached","Project Assessed","Project ID","Project Name","Vertical","Approval Date","Approval Step","CO Team Lead","Could count for more adaptation","Could count for more mitigation","Country","FY Probability","GP","Lending Instrument","Potential (Y/N)","Practice Manager Name","Region","Requesting Cost Center Code","Responsible Cost Center Code","Responsible Cost Center Name","Team Lead Name","Project compliant with CDRS requirement?","CI: Climate indicator included?","CI: Name of Climate Indicator","CI: Project compliant with CI requirement?","GHG: Applicable to operation","GHG: GHG lifetime","GHG: Gross Emissions  (tCO2e, lifetime)","GHG: Net Emissions (annual average, tCO2e/year)","GHG: Net Emissions (economic lifetime, tCO2e)","GHG: Status of data","% (Climate Co-Benefits Over Total IDA/IBRD Commitment)","Net IDA/IBRD Adaptation ($M)","Net IDA/IBRD Mitigation ($M)","Total IDA/IBRD Climate Co-Benefits ($M)","% (IBRD Climate Co-Benefits Over Total IBRD Commitment)","% (IDA Climate Co-Benefits Over Total IDA Commitment)","Net IBRD Adaptation ($M)","IBRD Climate Co-Benefits ($M)","Net IBRD Mitigation ($M)","Net IDA Adaptation ($M)","IDA Climate Co-Benefits ($M)","Net IDA Mitigation ($M)","IBRD Commitment ($M)","IDA Commitment ($M)","Total IDA/IBRD Commitment ($M)","Gross IDA/IBRD Adaptation ($M)","Gross IDA/IBRD Mitigation ($M)","Dual Benefit Finance ($M)"
NA,"AECC2-AFE","FY22","Bank Approved","Assessed","P176396","Burundi Digital Foundations Project","Digital","2022-06-22","A","000503696 | Aneliya Muller ~ 000170408 | Robert Yungu",0,0,"Burundi","Firm","Digital Development","IPF","No","Mehnaz S. Safavian","AFE","AECC2","DAEDU","Digital - AFR EAST/SOUTH","Aneliya Muller","Yes","Yes","Adoption of new gender-inclusive and climate-smart broadband policy and strategy that will strengthen competition (Yes/No)","N/A",NA,NA,NA,NA,NA,NA,"13.260",4.57,2.06,6.63,"  NA","13.260",0,0,0,4.57,6.63,2.06,0,50,50,NA,NA,NA
NA,"AECC2-AFE","FY22","Bank Approved","Assessed","P177158","Digital Sao Tome and Principe","Digital","2022-06-15","A","000581933 | Paul Seaden ~ 000458038 | Daniel Nogueira-Budny",0,0,"Sao Tome and Principe","Firm","Digital Development","IPF","No","Mehnaz S. Safavian","AFE","AECC2","DAEDU","Digital - AFR EAST/SOUTH","Paul Seaden","Yes","Yes","Up to date digitized map of STP housing stock crossed with climate hazards (Yes/No)","N/A",NA,NA,NA,NA,NA,NA,"6.524",1.37,0,1.37,"  NA","6.524",0,0,0,1.37,1.37,0,0,21,21,NA,NA,NA
NA,"AECC2-AFE","FY20","Bank Approved","Assessed","P164435","Solar Energy in Local Communities","Infrastructure","2020-02-28","A","000586347 | David Majambere ~ 000481533 | Juliette Besnard",0,0,"Burundi","Firm","Energy and Extractives","Investment","No","Yadviga Viktorivna Semikolenova","AFE","AECC2","IAEE3","Infrastructure - AFE Energy 3","David Majambere","Yes",NA,NA,NA,"Y","24.99989683","502,967","-116,317","-2,907,913","GHG data finalized","89.840",0,89.84,89.84,"  NA","89.840",0,0,0,0,89.84,89.84,0,100,100,NA,NA,NA
NA,"AECC2-AFE","FY20","Bank Approved","Assessed","P169196","Power Sector Recovery Project Additional Financing","Infrastructure","2020-04-06","A","000466156 | Nicolas Jean Marie Sans ~ 000467222 | Nash Fiifi Eyison",0,0,"Sao Tome and Principe","Firm","Energy and Extractives","Investment","No","Yadviga Viktorivna Semikolenova","AFE","AECC2","IAEE3","Infrastructure - AFE Energy 3","Nicolas Jean Marie Sans","Yes",NA,NA,NA,"Y","19.99646937","0","-9,630","-192,566","GHG data finalized","100.000",0.5,11.5,12,"  NA","100.000",0,0,0,0.5,12,11.5,0,12,12,NA,NA,NA
NA,"AECC2-AFE","FY19","Bank Approved","Assessed","P161842","Sao Tome e Principe Transport Sector Development and Coastal Protection Project","Infrastructure","2019-03-22","A","000514293 | Juan Miguel Velasquez ~ 000272297 | Mustapha Benmaamar",0,0,"Sao Tome and Principe","Firm","Transport","Investment","No","Binyam Reja","AFE","AECC2","IAET1","Infrastructure - AFE Transport","Juan Miguel Velasquez","Yes",NA,NA,NA,"Y","19.99657534","132,290","-292","-5,839","GHG data finalized","95.655",21.12,6.62,27.74,"  NA","95.655",0,0,0,21.12,27.74,6.62,0,29,29,NA,NA,NA
NA,"AECC2-AFE","FY17","Bank Approved","Assessed","P156208","Electricity Access & Services Expansion","Infrastructure","2017-05-04","A","000499517 | Jean-Pierre Lungenyi Ntombolo ~ 000541669 | Didier Makoso Tsasa",0,0,"Congo, Democratic Republic of","Firm","Energy and Extractives","Investment","No","Yadviga Viktorivna Semikolenova","AFE","AECC2","IAEE3","Infrastructure - AFE Energy 3","Jean-Pierre Lungenyi Ntombolo","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"46.758",0,67.799,67.799,"  NA","46.758",0,0,0,0,67.799,67.799,0,145,145,NA,NA,NA
NA,"AECC2-AFE","FY17","Bank Approved","Assessed","P157096","STP Power Sector Recovery Project","Infrastructure","2016-07-05","A","000434673 | Samuel Oguah ~ 000590156 | Leonardo Kilele Tshama",0,0,"Sao Tome and Principe","Firm","Energy and Extractives","Investment","No","Yadviga Viktorivna Semikolenova","AFE","AECC2","IAEE3","Infrastructure - AFE Energy 3","Samuel Oguah","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"66.088",0,10.574,10.574,"  NA","66.088",0,0,0,0,10.574,10.574,0,16,16,NA,NA,NA
NA,"AECC2-AFE","FY16","","Assessed","P153836","DRC High Prirority Roads Reopening and Maintenance - 2nd Add","Infrastructure","2016-02-18","A","000111585 | Alexandre K. Dossou ~",0,0,"Congo, Democratic Republic of","","Transport and Digital Development","Investment","No","Binyam Reja","AFR","AECC2","IAET1","Infrastructure - AFE Transport","Alexandre K. Dossou","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,125,125,NA,NA,NA
NA,"AECC2-AFE","FY15","","Assessed","P150929","BI-Infrastructure Resilience Emergency","Infrastructure",NA,"A","000341970 | Papa Mamadou Fall ~",0,0,"Burundi","","Transport and Digital Development","Investment","No","Binyam Reja","AFR","AECC2","IAET1","Infrastructure - AFE Transport","Papa Mamadou Fall","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.000",25,0,25,"  NA","100.000",0,0,0,25,25,0,0,25,25,NA,NA,NA
NA,"AECC2-AFE","FY15","","Assessed","P153085","DRC-Goma Airport Project","Infrastructure",NA,"A","000330440 | Tojoarofenitra Ramanankirahina ~ 000412616 | Bertram Boie",0,0,"Congo, Democratic Republic of","","Transport and Digital Development","Investment","No","Binyam Reja","AFR","AECC2","IAET1","Infrastructure - AFE Transport","Tojoarofenitra Ramanankirahina","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,52,52,NA,NA,NA
NA,"AECC2-AFE","FY14","","Assessed","P131027","ZR-Inga 3 and Mid-Size Hydro Dev. TA","Infrastructure",NA,"A","000448024 | Alexis Madelain ~",0,0,"Congo, Democratic Republic of","","Energy and Extractives","Investment","No","Yadviga Viktorivna Semikolenova","AFR","AECC2","IAEE3","Infrastructure - AFE Energy 3","Alexis Madelain","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.000",0,73.1,73.1,"  NA","100.000",0,0,0,0,73.1,73.1,0,73.1,73.1,NA,NA,NA
NA,"AECC2-AFE","FY14","","Assessed","P133610","BI-Jiji and Mulembwe Hydropower","Infrastructure",NA,"A","000481533 | Juliette Besnard ~ 000586347 | David Majambere",0,0,"Burundi","","Energy and Extractives","Investment","No","Yadviga Viktorivna Semikolenova","AFR","AECC2","IAEE3","Infrastructure - AFE Energy 3","Juliette Besnard","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.000",0,100,100,"  NA","100.000",0,0,0,0,100,100,0,100,100,NA,NA,NA
NA,"AECC2-AFE","FY13","","Assessed","P129594","DRC-Multi-Modal Transp Additional Fin","Infrastructure",NA,"A","000012663 | Jean-Charles Crochet ~",0,0,"Congo, Democratic Republic of","","Transport and Digital Development","Investment","No","Binyam Reja","AFR","AECC2","IAET1","Infrastructure - AFE Transport","Jean-Charles Crochet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,180,180,NA,NA,NA
NA,"AECC2-AFE","FY11","","Assessed","P106982","DRC-Growth w/ Gov in Mineral Sector","Infrastructure",NA,"A","000419057 | Kirsten Lori Hund ~ 000326954 | Remi Pelon ~ 000432193 | Rachel Bernice Perks ~",0,0,"Congo, Democratic Republic of","","Energy and Extractives","Investment","No","Robert Schlotterer","AFR","AECC2","IEEXI","Infra - Energy Extractive Inds","Kirsten Lori Hund",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,50,50,NA,NA,NA
NA,"AECC2-AFE","FY11","","Assessed","P120709","DRC Pro-Routes - Additional Financing","Infrastructure",NA,"A","000111585 | Alexandre K. Dossou ~",0,0,"Congo, Democratic Republic of","","Transport and Digital Development","Investment","No","Binyam Reja","AFR","AECC2","IAET1","Infrastructure - AFE Transport","Alexandre K. Dossou",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,63.3,63.3,NA,NA,NA
NA,"AECC2-AFE","FY11","","Assessed","P122217","BI-Emergency Elect. Infrast. Project","Infrastructure",NA,"A","000342533 | Vonjy Miarintsoa Rakotondramanana ~",0,0,"Burundi","","Energy and Extractives","Investment","No","Yadviga Viktorivna Semikolenova","AFR","AECC2","IAEE3","Infrastructure - AFE Energy 3","Vonjy Miarintsoa Rakotondramanana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44.360",0,6.83144,6.83144,"  NA","44.360",0,0,0,0,6.83144,6.83144,0,15.4,15.4,NA,NA,NA
NA,"AECC2-AFE","FY11","","Assessed","P123119","BI-Road Sec Dev Add'l Financing 2011","Infrastructure",NA,"A","000017894 | Kingson Khan Apara ~",0,0,"Burundi","","Transport and Digital Development","Investment","No","Binyam Reja","AFR","AECC2","ITRDR","Infrastructure-Dir Glbl Transprt","Kingson Khan Apara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,19,19,NA,NA,NA
NA,"AECC2-AFE","FY21","Bank Approved","Assessed","P166805","Angola - Electricity Sector Improvement and Access Project","Infrastructure","2021-02-18","A","000590156 | Leonardo Kilele Tshama ~ 000434673 | Samuel Oguah",0,0,"Angola","Firm","Energy and Extractives","IPF","No","Yadviga Viktorivna Semikolenova","AFE","AECC2","IAEE3","Infrastructure - AFE Energy 3","Leonardo Kilele Tshama","Yes","Yes","Reduction of total system losses (Percentage) (supported by indicator description)","Yes","Y","20","173,325","-129,019","-2,580,372","GHG data finalized","28.856",11.75,60.39,72.14,"28.856","  NA",11.75,72.14,60.39,0,0,0,250,0,250,NA,NA,NA
NA,"AECC2-AFE","FY21","Bank Approved","Assessed","P171141","Kinshasa Multisector Development and Urban Resilience Project","Infrastructure","2021-03-30","A","000527285 | Hyunji Lee ~ 000495751 | Feriha Mukuve Mugisha ~ 000541669 | Didier Makoso Tsasa ~",0,0,"Congo, Democratic Republic of","Firm","Urban Resilience and Land","IPF","No","Catalina Marulanda","AFE","AECC2","IAEU2","Infrastructure - AFE Urban DRM 1","Hyunji Lee","Yes","Yes","Electricity distribution secured against erosion and flooding (Megawatt)","Yes","Y","20","0","-282,906","-5,658,126","GHG data finalized","71.186",233.76,122.17,355.93,"  NA","71.186",0,0,0,233.76,355.93,122.17,0,500,500,NA,NA,NA
NA,"AECC2-AFE","FY22","Bank Approved","Assessed","P161877","DRC Transport and Connectivity Support Project","Infrastructure","2022-06-23","A","000343418 | Peter Ngwa Taniform ~ 000578295 | Bolivian Dinyuy Tata",0,0,"Congo, Democratic Republic of","Firm","Transport","IPF","No","Binyam Reja","AFE","AECC2","IAET1","Infrastructure - AFE Transport","Peter Ngwa Taniform","Yes","Yes","Percentage of project infrastructure integrating climate-resilient adaptation measures","Yes","Y","18.99869205","373,422","-6,881","-130,730","GHG data finalized","47.032",228.4,6.76,235.16,"  NA","47.032",0,0,0,228.4,235.16,6.76,0,500,500,NA,NA,NA
NA,"AECC2-AFE","FY22","Bank Approved","Assessed","P173506","Access Governance & Reform for the Electricity and Water Sectors Project","Infrastructure","2022-03-31","A","000541669 | Didier Makoso Tsasa ~ 000245317 | Fabrice Karl Bertholet ~ 000416412 | Patrick Goy Ndolo ~",0,0,"Congo, Democratic Republic of","Firm","Energy and Extractives","IPF","No","Yadviga Viktorivna Semikolenova","AFE","AECC2","IAEE3","Infrastructure - AFE Energy 3","Didier Makoso Tsasa","Yes","Yes","Renewable energy generation capacity (other than hydropower) constructed under the project (CRI, Megawatt) [Disaggregated indicator: Battery storage for
renewable energy installed (Megawatt hour(MWh))]","Yes","Y","Multiple","914,403","-549,792","-9,780,340","GHG data finalized","79.673",78.32,399.72,478.04,"  NA","79.673",0,0,0,78.32,478.04,399.72,0,600,600,NA,NA,NA
NA,"AECC2-AFE","FY18","Bank Approved","Assessed","P160105","AO-Local development Project - AF","People","2017-07-25","A","000417697 | Eric Zapatero Larrio ~",0,0,"Angola","Firm","Social Protection and Jobs","Investment","No","Suleiman Namara","AFE","AECC2","HAES2","People - SPT & Labor AFE2","Eric Zapatero Larrio","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.000",0,5.6,5.6,"8.000","  NA",0,5.6,5.6,0,0,0,70,0,70,NA,NA,NA
NA,"AECC2-AFE","FY18","Bank Approved","Assessed","P160948","Angola Health System Performance Strengthening Project (HSPSP)","People","2018-03-29","A","000290682 | Renzo Efren Sotomayor Noel ~ 000485025 | Soazic Elise Wang Sonne",0,0,"Angola","Firm","Health Nutrition and Population","Investment","No","Ronald Upenyu Mutasa","AFE","AECC2","HAEH2","People - HNP AFE2","Renzo Efren Sotomayor Noel","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"0.000","  NA",0,0,0,0,0,0,110,0,110,NA,NA,NA
NA,"AECC2-AFE","FY18","Bank Approved","Assessed","P161600","Burundi Early Grade Learning Project","People","2018-05-24","A","000539650 | Maroua Sallami ~",0,0,"Burundi","Firm","Education","Investment","No","Meskerem Mulatu","AFE","AECC2","HAEE2","People - Education AFE2","Maroua Sallami","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,40,40,NA,NA,NA
NA,"AECC2-AFE","FY18","Decision Meeting","Assessed","P163962","Productive Inclusion Project","People","2018-06-28","A","000348128 | Paul G. A. Bance ~",0,0,"Congo, Democratic Republic of","Firm","Social Protection and Jobs","Investment","No","Suleiman Namara","AFE","AECC2","HAES2","People - SPT & Labor AFE2","Paul G. A. Bance","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.800",26.09,19.51,45.6,"  NA","22.800",0,0,0,26.09,45.6,19.51,0,200,200,NA,NA,NA
NA,"AECC2-AFE","FY20","Bank Approved","Assessed","P165253","Investing in Early Years and Fertility in Burundi (NKURIZA)","People","2019-09-05","A","000314213 | Sayed Ghulam ~ 000388629 | Olivier Basenya",0,0,"Burundi","Firm","Health Nutrition and Population","Investment","No","Ronald Upenyu Mutasa","AFE","AECC2","HAEH2","People - HNP AFE2","Sayed Ghulam","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,30,30,NA,NA,NA
NA,"AECC2-AFE","FY20","Bank Approved","Assessed","P169779","Strengthening the National Social Protection System Project (Cash Transfer)","People","2019-07-16","A","000291153 | Alex Kamurase ~ 000274249 | Aylin Isik-Dikmelik",0,0,"Angola","Firm","Social Protection and Jobs","Investment","No","Suleiman Namara","AFE","AECC2","HAES2","People - SPT & Labor AFE2","Alex Kamurase","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.075",0,3.44,3.44,"1.075","  NA",0,3.44,3.44,0,0,0,320,0,320,NA,NA,NA
NA,"AECC2-AFE","FY20","Bank Approved","Assessed","P171821","STEP Second Additional Financing","People","2020-05-20","A","000348128 | Paul G. A. Bance ~ 000021775 | John A. Elder",0,0,"Congo, Democratic Republic of","Firm","Social Protection and Jobs","Investment","No","Suleiman Namara","AFE","AECC2","HAES2","People - SPT & Labor AFE2","Paul G. A. Bance","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"32.701",124.17,21.35,145.52,"  NA","32.701",0,0,0,124.17,145.52,21.35,0,445,445,NA,NA,NA
NA,"AECC2-AFE","FY20","Bank Approved","Assessed","P172341","DR Congo Emergency Equity and System Strengthening in Education","People","2020-06-15","A","000493670 | Boubakar Lompo ~ 000240692 | Ruxandra Burdescu ~ 000387383 | Assane Dieng ~",0,0,"Congo, Democratic Republic of","Firm","Education","Investment","No","Meskerem Mulatu","AFE","AECC2","HAEE2","People - Education AFE2","Boubakar Lompo","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.215",83.43,30.29,113.72,"  NA","14.215",0,0,0,83.43,113.72,30.29,0,800,800,NA,NA,NA
NA,"AECC2-AFE","FY20","Bank Approved","Assessed","P173415","Fourth Additional Financing for Health System Strengthening for Better Maternal and Child Health Results Project","People","2020-06-11","A","000086639 | Hadia Nazem Samaha ~ 000484577 | Avril Dawn Kaplan",0,0,"Congo, Democratic Republic of","Firm","Health Nutrition and Population","Investment","No","Ronald Upenyu Mutasa","AFE","AECC2","HAEH2","People - HNP AFE2","Hadia Nazem Samaha","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.335",10.67,0,10.67,"  NA","5.335",0,0,0,10.67,10.67,0,0,200,200,NA,NA,NA
NA,"AECC2-AFE","FY20","Bank Approved","Assessed","P173783","STP COVID-19 Emergency Response Project","People","2020-04-02","A","000258212 | Humberto Albino Cossa ~ 000290682 | Renzo Efren Sotomayor Noel",0,0,"Sao Tome and Principe","Firm","Health Nutrition and Population","Investment","No","Ronald Upenyu Mutasa","AFE","AECC2","HAEH2","People - HNP AFE2","Humberto Albino Cossa","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.324",0.0081,0,0.0081,"  NA","0.324",0,0,0,0.0081,0.0081,0,0,2.5,2.5,NA,NA,NA
NA,"AECC2-AFE","FY20","Bank Approved","Assessed","P173825","DRC COVID-19 Strategic Preparedness and Response Project (SPRP)","People","2020-04-02","A","000314213 | Sayed Ghulam ~ 000460073 | Michel Muvudi Lushimba ~ 000552508 | Linda Mobula ~",0,0,"Congo, Democratic Republic of","Firm","Health Nutrition and Population","Investment","No","Ronald Upenyu Mutasa","AFE","AECC2","HAEH2","People - HNP AFE2","Sayed Ghulam","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,47.2,47.2,NA,NA,NA
NA,"AECC2-AFE","FY20","Bank Approved","Assessed","P173845","Burundi COVID19 Preparedness and Response Project","People","2020-04-10","A","000388629 | Olivier Basenya ~ 000314213 | Sayed Ghulam",0,0,"Burundi","Firm","Health Nutrition and Population","Investment","No","Ronald Upenyu Mutasa","AFE","AECC2","HAEH2","People - HNP AFE2","Olivier Basenya","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,5,5,NA,NA,NA
NA,"AECC2-AFE","FY19","Bank Approved","Assessed","P163088","Social Protection and Skills Development Project","People","2018-09-27","A","000267504 | Peter Anthony Holland ~",0,0,"Sao Tome and Principe","Firm","Social Protection and Jobs","Investment","No","Meskerem Mulatu","AFE","AECC2","HAEE2","People - Education AFE2","Peter Anthony Holland","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,10,10,NA,NA,NA
NA,"AECC2-AFE","FY19","Bank Approved","Assessed","P168756","DRC Multisectoral Nutrition and Health Project","People","2019-05-28","A","000344319 | Lisa Shireen Saldanha ~ 000460073 | Michel Muvudi Lushimba ~ 000470139 | Isidore Sieleunou ~",0,0,"Congo, Democratic Republic of","Firm","Health Nutrition and Population","Investment","No","Ronald Upenyu Mutasa","AFE","AECC2","HAEH2","People - HNP AFE2","Lisa Shireen Saldanha","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.636",8.36,4.61,12.97,"  NA","2.636",0,0,0,8.36,12.97,4.61,0,492,492,NA,NA,NA
NA,"AECC2-AFE","FY19","Bank Approved","Assessed","P169753","AF III DRC Health System Strengthening for Better Maternal and Child Health Results","People","2019-02-27","A","000086639 | Hadia Nazem Samaha ~",0,0,"Congo, Democratic Republic of","Firm","Health Nutrition and Population","Investment","No","Ronald Upenyu Mutasa","AFE","AECC2","HAEH2","People - HNP AFE2","Hadia Nazem Samaha","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.233",7.48,0,7.48,"  NA","6.233",0,0,0,7.48,7.48,0,0,120,120,NA,NA,NA
NA,"AECC2-AFE","FY17","Bank Approved","Assessed","P151835","BI-Social Safety Nets (Merankabandi)","People","2016-12-15","A","000021290 | Philippe Auffret ~",0,0,"Burundi","Firm","Social Protection and Jobs","Investment","No","Suleiman Namara","AFE","AECC2","HAES2","People - SPT & Labor AFE2","Philippe Auffret","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,40,40,NA,NA,NA
NA,"AECC2-AFE","FY17","Bank Approved","Assessed","P156012","Health System Support Project (KIRA)","People","2017-02-24","A","000341313 | Omer Ramses Zang Sidjou ~ 000388629 | Olivier Basenya",0,0,"Burundi","Firm","Health Nutrition and Population","Investment","No","Ronald Upenyu Mutasa","AFE","AECC2","HAEH2","People - HNP AFE2","Omer Ramses Zang Sidjou","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,50,50,NA,NA,NA
NA,"AECC2-AFE","FY17","Bank Approved","Assessed","P157864","DRC AF Health System Strengthening","People","2017-03-31","A","000086639 | Hadia Nazem Samaha ~",0,0,"Congo, Democratic Republic of","Firm","Health Nutrition and Population","Investment","No","Ronald Upenyu Mutasa","AFE","AECC2","HAEH2","People - HNP AFE2","Hadia Nazem Samaha","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,120,120,NA,NA,NA
NA,"AECC2-AFE","FY16","","Assessed","P156421","AF-DRC Human Development Systems Strengthening","People","2016-03-29","A","000349697 | Luc Laviolette ~ 000239433 | Christophe Rockmore",0,0,"Congo, Democratic Republic of","","Health Nutrition and Population","Investment","No","Ronald Upenyu Mutasa","AFR","AECC2","HAEH2","People - HNP AFE2","Luc Laviolette","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,30,30,NA,NA,NA
NA,"AECC2-AFE","FY15","","Assessed","P147555","DRC -Health System Strengthening Project","People",NA,"A","000371970 | Fatima El Kadiri El Yamani ~ 000484577 | Avril Dawn Kaplan ~ 000460073 | Michel Muvudi Lushimba ~",0,0,"Congo, Democratic Republic of","","Health Nutrition and Population","Investment","No","Ronald Upenyu Mutasa","AFR","AECC2","HAEH2","People - HNP AFE2","Fatima El Kadiri El Yamani","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,220,220,NA,NA,NA
NA,"AECC2-AFE","FY15","","Assessed","P149233","DRC - Post basic education","People",NA,"A","000365967 | Leonce Kazumba ~",0,0,"Congo, Democratic Republic of","","Education","Investment","No","Meskerem Mulatu","AFR","AECC2","HAEE2","People - Education AFE2","Leonce Kazumba","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,200,200,NA,NA,NA
NA,"AECC2-AFE","FY14","","Assessed","P122700","AO - Learning for All Project","People",NA,"A","000267504 | Peter Anthony Holland ~",0,0,"Angola","","Education","Investment","No","Meskerem Mulatu","AFR","AECC2","HAEE2","People - Education AFE2","Peter Anthony Holland","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,75,75,NA,NA,NA
NA,"AECC2-AFE","FY14","","Assessed","P145196","Eastern Recovery Project","People",NA,"A","000457050 | Jordi Jose Gallego-Ayala ~ 000478323 | Mba Minko Djekombe Rony",0,0,"Congo, Democratic Republic of","","Social Protection and Jobs","Investment","No","Suleiman Namara","AFR","AECC2","HAES2","People - SPT & Labor AFE2","Jordi Jose Gallego-Ayala","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,79.1,79.1,NA,NA,NA
NA,"AECC2-AFE","FY14","","Assessed","P145965","Human Development Systems Strengthening","People",NA,"A","000294696 | Lombe Kasonde ~ 000377900 | Enias Baganizi",0,0,"Congo, Democratic Republic of","","Health Nutrition and Population","Investment","No","Ronald Upenyu Mutasa","AFR","AECC2","HAEH2","People - HNP AFE2","Lombe Kasonde","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,15,15,NA,NA,NA
NA,"AECC2-AFE","FY14","","Assessed","P146877","Quality Education for All Project","People",NA,"A","000358160 | Emily Elaine Gardner ~",0,0,"Sao Tome and Principe","","Education","Investment","No","Scherezad Joya Monami Latif","AFR","AECC2","HAWE3","People - Education AFW3","Emily Elaine Gardner","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,0.9,0.9,NA,NA,NA
NA,"AECC2-AFE","FY14","","Assessed","P150828","STP Quality Education for All - AF","People",NA,"A","000358160 | Emily Elaine Gardner ~",0,0,"Sao Tome and Principe","","Education","Investment","No","Meskerem Mulatu","AFR","AECC2","GEDDR-HIS","HIS-Education - GP","Emily Elaine Gardner","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,3.5,3.5,NA,NA,NA
NA,"AECC2-AFE","FY13","","Assessed","P126088","ZR-Primary Hlth Care - 3rd AddFin (FY12)","People",NA,"A","000086639 | Hadia Nazem Samaha ~",0,0,"Congo, Democratic Republic of","","Health Nutrition and Population","Investment","No","Trina S. Haque","AFR","AECC2","GHNDR-HIS","HIS-Health, Nutr & Population - GP","Hadia Nazem Samaha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,75,75,NA,NA,NA
NA,"AECC2-AFE","FY13","","Assessed","P131919","BI-Health Sector Dev 2nd AF (FY13)","People",NA,"A","000352386 | Moulay Driss Zine Eddine El Idrissi ~",0,0,"Burundi","","Health Nutrition and Population","Investment","No","Ronald Upenyu Mutasa","AFR","AECC2","HAEH2","People - HNP AFE2","Moulay Driss Zine Eddine El Idrissi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,25,25,NA,NA,NA
