"CCG Comments","CMU","FY","Last Stage Reached","Project Assessed","Project ID","Project Name","Vertical","Approval Date","Approval Step","CO Team Lead","Could count for more adaptation","Could count for more mitigation","Country","FY Probability","GP","Lending Instrument","Potential (Y/N)","Practice Manager Name","Region","Requesting Cost Center Code","Responsible Cost Center Code","Responsible Cost Center Name","Team Lead Name","Project compliant with CDRS requirement?","CI: Climate indicator included?","CI: Name of Climate Indicator","CI: Project compliant with CI requirement?","GHG: Applicable to operation","GHG: GHG lifetime","GHG: Gross Emissions  (tCO2e, lifetime)","GHG: Net Emissions (annual average, tCO2e/year)","GHG: Net Emissions (economic lifetime, tCO2e)","GHG: Status of data","% (Climate Co-Benefits Over Total IDA/IBRD Commitment)","Net IDA/IBRD Adaptation ($M)","Net IDA/IBRD Mitigation ($M)","Total IDA/IBRD Climate Co-Benefits ($M)","% (IBRD Climate Co-Benefits Over Total IBRD Commitment)","% (IDA Climate Co-Benefits Over Total IDA Commitment)","Net IBRD Adaptation ($M)","IBRD Climate Co-Benefits ($M)","Net IBRD Mitigation ($M)","Net IDA Adaptation ($M)","IDA Climate Co-Benefits ($M)","Net IDA Mitigation ($M)","IBRD Commitment ($M)","IDA Commitment ($M)","Total IDA/IBRD Commitment ($M)","Gross IDA/IBRD Adaptation ($M)","Gross IDA/IBRD Mitigation ($M)","Dual Benefit Finance ($M)"
NA,"LCC2C-LCR","FY25","Bank Approved","Assessed","P179909","First Fiscal and Climate Transparency and Sustainability Development Policy Financing","Prosperity","2025-02-14","A","000467462 | Gabriela Schmidt ~ 000323424 | Fernando Gabriel Im",0,0,"Honduras","Firm","Macroeconomics Trade and Investment","DPF","No","Shireen Mahdi","LCR","LCC2C","ELCMU","Prosperity-LCR-Econ Policy-Macro","Gabriela Schmidt","Yes","Yes","Percentage of financial  institutions adopting the new reporting standards. (Percentage)","Yes",NA,NA,NA,NA,NA,NA,"53.333",26.638,50.855,77.493,"  NA","53.333",0,0,0,26.638,77.493,50.855,0,145.3,145.3,26.638,50.855,0
NA,"LCC3C-LCR","FY25","Bank Approved","Assessed","P179519","Caribbean Efficient and Green-Energy Buildings Project","Infrastructure","2025-02-28","A","000293754 | Ashok Sarkar ~ 000217769 | Jari Vayrynen",0,0,"Caribbean","Firm","Energy and Extractives","IPF","No","Gabriela Elizondo Azuela","LCR","LCC3C","ILCE1","Infrastructure - LCR Energy","Ashok Sarkar","Yes","Yes","Lifetime energy savings from EE improvement under the Project for each country and the region","Yes","Y","26","0","-59,823","-1,555,408","GHG data finalized","100.000",25.16,78.84,104,"  NA","100.000",0,0,0,25.16,104,78.84,0,104,104,50.32,104,50.32
NA,"LCC3C-LCR","FY25","Bank Approved","Assessed","P179642","Kingston Waterfront Improvement Project - SOP 1","Infrastructure","2024-07-09","A","000524044 | Carina Lakovits ~ 000481396 | Rafeef Abdelrazek",0,0,"Jamaica","Firm","Urban Resilience and Land","IPF","No","Federica Ranghieri","LCR","LCC3C","ILCUR","Infrastructure - LCR Urban","Carina Lakovits","Yes","Yes","Measures included in the design of waterfront improvement to mitigate and adapt to climate change","Yes","N","0","0","0","0","GHG not applicable","30.000",2.1,1.5,3.6,"30.000","  NA",2.1,3.6,1.5,0,0,0,12,0,12,3.6,3,3
NA,"LCC3C-LCR","FY25","Bank Approved","Assessed","P181645","Additional Financing III Dominica Disaster Vulnerability Reduction Project","Infrastructure","2024-12-06","A","000480942 | Mary Elinor Boyer ~ 000365058 | Artessa Saldivar-Sali",0,0,"Dominica","Firm","Urban Resilience and Land","IPF","No","Federica Ranghieri","LCR","LCC3C","ILCUR","Infrastructure - LCR Urban","Mary Elinor Boyer","Yes","Yes","Percentage of East Coast Roads with a condition rating of good/excellent that is resilient to climate events (Percentage)","Yes","N","0","0","0","0","GHG not applicable","100.000",40,0,40,"  NA","100.000",0,0,0,40,40,0,0,40,40,40,0,0
NA,"LCC3C-LCR","FY25","Bank Approved","Assessed","P501759","Integrated Transport Corridors Project","Infrastructure","2025-02-27","A","000484572 | Alina F. Burlacu ~ 000154202 | Gylfi Palsson",0,0,"Guyana","Firm","Transport","IPF","No","Bianca Bianchi Alves","LCR","LCC3C","ILCT1","Infrastructure - LCR Transport","Alina F. Burlacu","Yes","Yes","People benefitting from climate resilient infrastructure","Yes","Y","20","11,160","-146","-2,920","GHG data finalized","81.424",111.163,15.858,127.021,"  NA","81.424",0,0,0,111.163,127.021,15.858,0,156,156,111.215,15.91,0.104
NA,"LCC3C-LCR","FY25","Bank Approved","Assessed","P504548","Suriname Preparedness and Enhancing Resilient Communities Project","Infrastructure","2025-02-27","A","000365058 | Artessa Saldivar-Sali ~ 000532938 | Norman Russle Howard Taylor",0,0,"Suriname","Firm","Urban Resilience and Land","IPF","No","Federica Ranghieri","LCR","LCC3C","ILCUR","Infrastructure - LCR Urban","Artessa Saldivar-Sali","Yes","Yes","People benefiting from climate resilient infrastructure","Yes","N","0","0","0","0","GHG not applicable","71.194",15.805,0,15.805,"  NA","71.194",0,0,0,15.805,15.805,0,0,22.2,22.2,15.805,0,0
NA,"LCC3C-LCR","FY25","Bank Approved","Assessed","P507190","Barbados – Beryl Emergency Response and Recovery Project","Infrastructure","2024-11-21","A","000481396 | Rafeef Abdelrazek ~ 000494249 | Naraya Carrasco",0,0,"Barbados","Firm","Urban Resilience and Land","IPF","No","Federica Ranghieri","LCR","LCC3C","ILCUR","Infrastructure - LCR Urban","Rafeef Abdelrazek","Yes","Yes","People benefiting from new or rehabilitated climate-resilient infrastructure (Number of People)","Yes","N","0","0","0","0","GHG not applicable","56.378",30.444,0,30.444,"56.378","  NA",30.444,30.444,0,0,0,0,54,0,54,30.444,0,0
NA,"LCC3C-LCR","FY25","Bank Approved","Assessed","P507316","Saint Vincent and the Grenadines: Beryl Emergency Resilient Recovery Project","Infrastructure","2024-10-11","A","000458199 | Jared Phillip Mercadante ~",0,0,"St. Vincent and the Grenadines","Firm","Urban Resilience and Land","IPF","No","Federica Ranghieri","LCR","LCC3C","ILCUR","Infrastructure - LCR Urban","Jared Phillip Mercadante","Yes","Yes","Beneficiaries with enhanced resilience to climate risks","Yes","N","0","0","0","0","GHG not applicable","49.464",31.1625,0,31.1625,"  NA","49.464",0,0,0,31.1625,31.1625,0,0,63,63,31.1625,0,0
NA,"LCC3C-LCR","FY25","Bank Approved","Assessed","P507259","Sustainable and Resilient Recovery  DPF and CAT DDO","Prosperity","2025-02-28","A","000312866 | Jean Michel Lobet ~ 000276741 | Victoria Alexeeva ~ 000523864 | Woori Lee ~",0,0,"Jamaica","Firm","Finance Competitiveness and Innovation","DPF","No","Stefka Slavova","LCR","LCC3C","ELCFN","Prosperity-LCR-FCI Finance","Jean Michel Lobet","Yes","Yes","New or upgraded government facilities that incorporate disaster and climate resilient and fire code standards in their design","Yes",NA,NA,NA,NA,NA,NA,"35.713",41.143,27.426,68.569,"35.713","  NA",41.143,68.569,27.426,0,0,0,192,0,192,41.143,27.426,0
NA,"LCC5C-LCR","FY25","Bank Approved","Assessed","P504253","Brazil Proactive, Safe, and Resilient Road Asset Management Program - State of Santa Catarina Project - Phase 3","Infrastructure","2025-02-27","A","000513775 | Carlos Bellas Lamas ~ 000298491 | Eric R. Lancelot",0,0,"Brazil","Firm","Transport","IPF","No","Bianca Bianchi Alves","LCR","LCC5C","ILCT1","Infrastructure - LCR Transport","Carlos Bellas Lamas","Yes","Yes","PDO indicator (resilient transport access): Share of the paved state road network in the State of Santa Catarina with updated Management Response Plans to climate risks and Natural Disasters (Percentage)","Yes","Y","0","0","0","0","Reported under MPA P180555","49.933",135.9623152,13.83572019,149.7980354,"49.933","  NA",135.9623152,149.7980354,13.83572019,0,0,0,300,0,300,136.4787019,14.35210686,1.032773341
NA,"MNC01-MNA","FY25","Bank Approved","Assessed","P178768","Morocco Municipal Solid Waste Management Support Program","Infrastructure","2024-11-26","A","000504645 | Chaymae Belouali ~ 000158241 | Martin Humberto Ochoa Salgado",0,0,"Morocco","Firm","Urban Resilience and Land","PforR","No","Catherine Signe Tovey","MNA","MAP01","IMAPU","Infrastructure-MENAAP-Urban","Chaymae Belouali","Yes","Yes","Increased waste recovery and recycling in a number of landfills in participating municipalities.","Yes",NA,NA,NA,NA,NA,NA,"46.290",30.14,85.585,115.725,"46.290","  NA",30.14,115.725,85.585,0,0,0,250,0,250,33.558,89.002,6.835
NA,"MNC01-MNA","FY25","Bank Approved","Assessed","P506551","Strengthening Tertiary Education for Employability Innovation and Resilience","People","2025-02-27","A","000355303 | Himdat Iqbal Bayusuf ~",0,0,"Tunisia","Firm","Education","IPF","No","Fadila Caillaud","MNA","MAP01","HMAPE","People-MENAAP-Education","Himdat Iqbal Bayusuf","Yes","Yes","Research consortia established in priority areas (e.g., renewable energy, digital transformation, climate, food security and water)","Yes",NA,NA,NA,NA,NA,NA,"41.924",14.117,27.807,41.924,"41.924","  NA",14.117,41.924,27.807,0,0,0,100,0,100,19.225,32.914,10.215
NA,"MNC02-MNA","FY25","Bank Approved","Assessed","P504170","Second Greater Beirut Water Supply Project","Planet","2025-01-14","A","000444841 | Sally Zgheib ~",0,0,"Lebanon","Firm","Water","IPF","No","Michael Haney","MNA","MAP02","SMAPW","Planet-MENAAP-Water","Sally Zgheib","Yes","Yes","Length of bulk water tunnel lined (Kilometers)","Yes","Y","25","189,017","-5,656","-141,412","GHG data finalized","96.759",62.004,187.44,249.444,"96.759","  NA",62.004,249.444,187.44,0,0,0,257.8,0,257.8,124.009,249.444,124.009
